name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020jur 226.142646668642 -11.4105695743973 226.1425697 -11.4105551 226.1435665 -11.4113238 0.2765493 True 4.2319690 False 4.4757890 False
2020juu 190.188348397335 13.3169965039735 190.1883088 13.3170182 190.1882555 13.3169732 0.1591868 True 0.3360432 True 0.2473749 True
2020jvi 231.53477303670127 10.009641552321998 231.5347568 10.0096586 231.5347419 10.0096412 0.0841120 True 0.1103716 True 0.0817756 True
2020jvk 238.756293903688 17.0502542906658 238.7552220 17.0514213 238.7567958 17.0503826 5.5912018 False 1.7882540 True 6.5821543 False
2020jwb 221.227495833333 -7.07372222222222 221.2271561 -7.0743213 -99.0000000 -99.0000000 2.4746216 False -99.0000000 False -99.0000000 False
2020jwr 190.418870833333 1.63738888888889 190.4184701 1.6377153 190.4184832 1.6377166 1.8601542 True 1.8270106 True 0.0474267 True
2020jww 242.714945165543 27.1616958608842 242.7147533 27.1583127 242.7147727 27.1583122 12.1949541 False 12.1935343 False 0.0622176 True
2020jxa 238.143809854953 25.5766056731871 238.1438757 25.5766249 -99.0000000 -99.0000000 0.2245905 True -99.0000000 False -99.0000000 False
2020jyi 221.307383333333 -8.41501388888889 221.3070448 -8.4157761 -99.0000000 -99.0000000 2.9972524 False -99.0000000 False -99.0000000 False
2020jyp 152.64746826645674 1.7776495644732377 152.6436439 1.7786587 152.6436667 1.7786389 14.2324266 False 14.1352185 False 0.1084886 True
2020jzj 226.961791666667 -10.9752222222222 226.9616334 -10.9748412 -99.0000000 -99.0000000 1.4813661 True -99.0000000 False -99.0000000 False
2020jzp 240.389175 36.2925166666667 240.3894233 36.2925824 -99.0000000 -99.0000000 0.7582340 True -99.0000000 False -99.0000000 False
2020jzs 232.457759334238 13.9367216948419 232.4568805 13.9366976 232.4570470 13.9368230 3.0718614 False 2.5154902 False 0.7364060 True
2020jzx 204.33129949460863 27.97052663563534 204.3311736 27.9713161 204.3311852 27.9713010 2.8702323 False 2.8113243 False 0.0657065 True
2020kaj 203.703577676826 28.4024866551288 -99.0000000 -99.0000000 203.7034423 28.4026118 -99.0000000 False 0.6217970 True -99.0000000 False
2020kak 202.90399641002455 30.930336401619307 202.9036549 30.9305414 202.9035926 30.9305277 1.2873373 True 1.4245618 True 0.1986958 True
2020kax 230.901667948771 10.6251349584828 230.9012409 10.6257852 230.9012474 10.6257791 2.7860575 False 2.7552046 False 0.0317440 True
2020kbl 243.81764479447125 21.093383864983494 243.8172234 21.0933997 243.8173220 21.0934450 1.4165154 True 1.1063088 True 0.3691988 True
2020kcf 180.065887357021 17.4731155439341 180.0659085 17.4729900 180.0658702 17.4729775 0.4575748 True 0.5002874 True 0.1388834 True
2020kcl 242.304520402769 32.8619258570353 242.3044015 32.8619055 242.3043864 32.8618884 0.3669984 True 0.4269266 True 0.0765334 True
2020kdc 231.85307888237003 12.318839084393892 231.8526682 12.3182861 231.8525785 12.3195195 2.4594330 False 3.0160919 False 4.4512672 False
2020ken 224.3544375 -9.28102777777778 224.3548620 -9.2816373 -99.0000000 -99.0000000 2.6625533 False -99.0000000 False -99.0000000 False
2020kfe 190.8923512683402 2.6454966713876202 190.8920236 2.6455627 190.8921739 2.6455474 1.2021414 True 0.6635245 True 0.5432946 True
2020kff 189.215376204452 -0.722257574929429 189.2153210 -0.7222005 189.2153196 -0.7222249 0.2858445 True 0.2351757 True 0.0880967 True
