ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF18aabfkpy,No_TNS,None,-99.0,None
ZTF18abfunob,No_TNS,None,-99.0,None
ZTF19acsggja,No_TNS,None,-99.0,None
ZTF20abuqali,Yes_TNS,SN II,0.04,ATLAS
ZTF18acmwwxh,No_TNS,None,-99.0,None
ZTF20aahiotn,No_TNS,None,-99.0,None
ZTF19aaneozk,No_TNS,None,-99.0,None
ZTF18acajvnu,Yes_TNS,None,-99.0,ATLAS
ZTF18aaadcnj,No_TNS,None,-99.0,None
ZTF18aakfobh,No_TNS,None,-99.0,None
ZTF20abxydiv,No_TNS,None,-99.0,None
ZTF18aamoyxp,No_TNS,None,-99.0,None
ZTF18aclbptm,No_TNS,None,-99.0,None
ZTF18abvlwvi,No_TNS,None,-99.0,None
ZTF18abscaqd,No_TNS,None,-99.0,None
ZTF18abycfpf,Yes_TNS,None,-99.0,Pan-STARRS
ZTF17aaajigm,No_TNS,None,-99.0,None
ZTF18abmjokp,No_TNS,None,-99.0,None
ZTF18aamsloi,No_TNS,None,-99.0,None
ZTF18abimrqx,No_TNS,None,-99.0,None
ZTF19abdzljn,No_TNS,None,-99.0,None
ZTF19aakmuru,No_TNS,None,-99.0,None
ZTF18abwjsrw,Yes_TNS,None,-99.0,ZTF
ZTF19aabynji,No_TNS,None,-99.0,None
ZTF18abuwqdi,No_TNS,None,-99.0,None
ZTF18abweucd,No_TNS,None,-99.0,None
ZTF18absgmgq,No_TNS,None,-99.0,None
ZTF20aabbegb,No_TNS,None,-99.0,None
ZTF19adavnot,No_TNS,None,-99.0,None
ZTF19aabynow,No_TNS,None,-99.0,None
ZTF18aamwsog,No_TNS,None,-99.0,None
ZTF18ablpujj,No_TNS,None,-99.0,None
ZTF18abxftqm,Yes_TNS,TDE,0.09,ATLAS
ZTF18aaymqbw,No_TNS,None,-99.0,None
ZTF18abyiusv,Yes_TNS,None,-99.0,ATLAS
ZTF18abszecm,Yes_TNS,SLSN-I,0.4373,ZTF
ZTF18abxqemv,Yes_TNS,SN II,0.045,ATLAS
ZTF18abnyhnb,No_TNS,None,-99.0,None
ZTF21aalghef,Yes_TNS,None,-99.0,ATLAS
ZTF18abuxbuy,No_TNS,None,-99.0,None
ZTF18aakgusl,No_TNS,None,-99.0,None
ZTF19aankvwq,No_TNS,None,-99.0,None
ZTF18abwgjjd,Yes_TNS,None,-99.0,Pan-STARRS
ZTF18acsvwbw,No_TNS,None,-99.0,None
ZTF18acdjvcj,No_TNS,None,-99.0,None
ZTF18acbznmy,No_TNS,None,-99.0,None
ZTF18adazpyp,No_TNS,None,-99.0,None
ZTF18abskrdj,No_TNS,None,-99.0,None
ZTF19aatdhco,No_TNS,None,-99.0,None
ZTF18aaudcvx,No_TNS,None,-99.0,None
ZTF18abntxid,No_TNS,None,-99.0,None
ZTF18acfqgvp,No_TNS,None,-99.0,None
ZTF19aannnxr,No_TNS,None,-99.0,None
ZTF18abwpgxr,No_TNS,None,-99.0,None
ZTF18abaxini,No_TNS,None,-99.0,None
ZTF18aazyefz,No_TNS,None,-99.0,None
ZTF18acpvxyh,No_TNS,None,-99.0,None
ZTF18abuyomg,No_TNS,None,-99.0,None
ZTF21aaogiic,Yes_TNS,None,-99.0,ALeRCE
ZTF18abocrdj,No_TNS,None,-99.0,None
ZTF18aavlwac,No_TNS,None,-99.0,None
ZTF18abqdzeg,No_TNS,None,-99.0,None
ZTF18aboaqmt,No_TNS,None,-99.0,None
ZTF18achtewk,No_TNS,None,-99.0,None
ZTF18abtswin,No_TNS,None,-99.0,None
ZTF19aaeqnae,No_TNS,None,-99.0,None
ZTF20acmbsjl,No_TNS,None,-99.0,None
ZTF18abxnqwl,No_TNS,None,-99.0,None
ZTF19abhycll,No_TNS,None,-99.0,None
ZTF21aacvupj,Yes_TNS,SN Ia,0.0937,ALeRCE
ZTF18abdrjak,No_TNS,None,-99.0,None
ZTF18aajqrqj,No_TNS,None,-99.0,None
ZTF18acgenex,No_TNS,None,-99.0,None
ZTF19abqsabw,No_TNS,None,-99.0,None
ZTF18absmsbm,No_TNS,None,-99.0,None
ZTF20abphyxq,No_TNS,None,-99.0,None
ZTF18acvgupj,No_TNS,None,-99.0,None
ZTF19aatwtnl,No_TNS,None,-99.0,None
ZTF19abmmtoo,No_TNS,None,-99.0,None
ZTF18abskuxt,No_TNS,None,-99.0,None
ZTF18acvqysg,No_TNS,None,-99.0,None
ZTF18abuqtio,Yes_TNS,None,-99.0,ATLAS
ZTF18acwzaug,No_TNS,None,-99.0,None
ZTF18aajspec,No_TNS,None,-99.0,None
ZTF19aanoneh,No_TNS,None,-99.0,None
ZTF18abtmtqb,No_TNS,None,-99.0,None
ZTF18ablqjws,No_TNS,None,-99.0,None
ZTF18abccocr,No_TNS,None,-99.0,None
ZTF18abxzqsz,No_TNS,None,-99.0,None
ZTF18abyqspb,No_TNS,None,-99.0,None
ZTF18abubjqi,No_TNS,None,-99.0,None
ZTF19aacrocz,No_TNS,None,-99.0,None
ZTF18acyuwhu,No_TNS,None,-99.0,None
ZTF18aautopz,Yes_TNS,None,-99.0,SNAD
ZTF18abfdmhq,No_TNS,None,-99.0,None
ZTF18abrjskr,No_TNS,None,-99.0,None
ZTF18accqdys,No_TNS,None,-99.0,None
ZTF18abmwonf,No_TNS,None,-99.0,None
ZTF19acwdzhe,No_TNS,None,-99.0,None
ZTF18acgpzqb,No_TNS,None,-99.0,None
ZTF18abrjyix,No_TNS,None,-99.0,None
ZTF18aatrkga,Yes_TNS,SN Ia,0.0285,ALeRCE
ZTF18abrllyv,No_TNS,None,-99.0,None
ZTF18aaqrkdd,No_TNS,None,-99.0,None
ZTF20aapzwfo,No_TNS,None,-99.0,None
ZTF18abpucqe,No_TNS,None,-99.0,None
ZTF18aamwmzm,No_TNS,None,-99.0,None
ZTF18abyaxyu,Yes_TNS,None,-99.0,ZTF
ZTF18abjgxmm,No_TNS,None,-99.0,None
ZTF19aalockp,No_TNS,None,-99.0,None
ZTF18aakiyfn,No_TNS,None,-99.0,None
ZTF18aaxkznd,No_TNS,None,-99.0,None
ZTF18abtmnha,No_TNS,None,-99.0,None
ZTF18aainada,No_TNS,None,-99.0,None
ZTF18abufwxs,No_TNS,None,-99.0,None
ZTF18abmrfle,No_TNS,None,-99.0,None
