ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF18abhbfrf,None,None,None,None,None,None,None,None,None,None
ZTF18abhgitw,None,None,None,None,None,None,None,None,None,None
ZTF18abhhbki,None,None,None,None,None,SN Ia,None,SN Ia,None,None
ZTF18abhpdpk,None,None,None,None,None,None,None,None,None,None
ZTF18abitwua,None,None,SN Ia,None,SN Ia,None,None,SN II,None,SN Ia
ZTF18ablmduj,SN Ia,None,None,None,None,None,SN Ia,None,SN Ia,None
ZTF18ablwagw,None,None,None,None,None,None,None,None,SN Ia,None
ZTF18abmjjxn,None,None,None,None,SN II,SN II,None,SN Ia,None,None
ZTF18abmjzjq,None,None,None,None,SLSN-II,SN Iax[02cx-like],None,None,SN Ia,None
ZTF18abmoflr,None,None,None,None,None,None,None,None,None,None
ZTF18abmwszl,None,None,None,None,None,None,None,None,None,None
ZTF18abnzucj,None,None,None,None,None,None,SN Ia,None,None,SN IIn
ZTF18abolvsx,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None,None
ZTF18abotthj,None,None,None,SN Ic,None,None,None,None,SN Ia,None
ZTF18abotthu,None,None,None,None,None,None,None,SN Ia,None,SN Ia
ZTF18abpovmh,None,None,SN II,None,None,None,None,SN Ia,SN Ia-91T-like,None
ZTF18abqojst,None,None,None,None,None,None,None,None,None,None
ZTF18abqrgyt,None,None,SN Ia,None,None,SN Ia,SN II,None,None,SN I
ZTF18abquxjv,SN Ia,None,None,None,SN IIn,SN Ia,None,None,SN Ia,None
ZTF18abqxlym,None,None,None,None,None,None,None,None,None,None
ZTF18abqyvzy,SN II,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,None,SN Ia
ZTF18abradhe,None,None,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN IIb,None
ZTF18abrbywo,SN Ia,None,SN Ia,None,None,None,None,SN Ib,None,None
ZTF18abrfccm,SN Ia,SN Ia,None,None,None,None,None,SN Ia,None,None
ZTF18abrlupd,None,None,SN Ia,None,None,None,None,None,SN Ia,SN II
ZTF18abrpkdw,None,SN Ia,None,None,SN Ia,SN Ia,None,SN Ia,None,SN II
ZTF18abrqgqa,None,SN Ia,None,None,None,None,None,SN Ia,SN Ia,SN Ia
ZTF18abrwqze,None,None,None,None,None,SN Ia,SN Ia,SN Ia,None,SN Ia
ZTF18abshgbq,None,None,None,None,SN Ia,None,SN Ia,None,None,None
ZTF18abshxig,None,None,None,None,None,CV,None,SN Ia,None,None
ZTF18abspnfw,None,None,None,None,None,None,None,SN Ia,None,None
ZTF18absrdom,None,None,None,None,None,None,None,None,None,None
ZTF18abteipt,None,None,None,None,None,None,None,None,None,None
ZTF18abthaii,None,None,None,SN Ia,SN Ia,None,None,SN Ia,SN Ia,SN Ia
ZTF18abtmeds,None,None,None,None,None,None,None,None,None,None
ZTF18abtpmgz,None,None,None,None,None,None,None,SN II,SN II,None
ZTF18abtrhsu,None,SN II,SN Ia,None,SN Ia,None,SN Ia,None,None,None
ZTF18abtteya,None,SN Ia,None,None,None,None,None,SN Ia,SN Ic,None
ZTF18abtwqub,None,None,None,SN Ia,None,None,SN Ia,None,SN Ic,None
ZTF18abtxmwz,SN Ia,SN Ia,SN Ia,None,SN Ia,None,None,SN IIn,SN Ia,SN Ia
ZTF18abtxokd,None,None,None,None,None,None,None,None,None,None
ZTF18abtxynh,None,None,None,None,None,None,None,None,None,None
ZTF18abtyrqh,SN Ia,None,None,None,None,None,None,None,SN Ia,SN II
ZTF18abufaej,SN II,None,None,None,SN Ia,None,SN Ia,None,None,None
ZTF18abugmrg,None,None,SN Ib,None,None,None,None,None,None,SN Ia
ZTF18abulzuo,None,None,None,None,None,None,None,None,None,None
ZTF18abumzmx,None,None,None,None,None,None,None,None,None,None
ZTF18abuoilc,AGN,None,TDE,None,None,SN II,None,SN Ia,None,None
ZTF18abuqtio,None,SN Ia-91bg-like,None,SN Ia,SN Ia,None,SN Ia,SN Ia,None,None
ZTF18abuvbuo,None,SN Ia,None,None,SN Ia,None,None,SN IIP,None,SN Ia
ZTF18abuvrhf,None,None,None,None,SN Ia,None,None,None,None,SN Ia
ZTF18abuxjrd,SN Ia,SN Ia,None,None,None,None,None,None,SN II,None
ZTF18abvcfzm,None,None,None,None,None,None,None,None,None,None
ZTF18abvfisg,None,None,None,SN Ia,None,None,SN Ia,SN Ia,None,None
ZTF18abviyvv,None,None,None,None,SN Ia,None,None,None,None,None
ZTF18abvkdhm,None,None,None,None,None,None,None,None,None,None
ZTF18abvkffr,None,None,None,SN IIn,None,None,SN II,None,None,None
ZTF18abvkmgw,SN Ib,None,None,None,None,None,SN Ic,SN Ia-91T-like,None,SN Ia
ZTF18abvloec,None,None,None,None,None,None,None,None,None,None
ZTF18abvmlow,SN II,None,SN Ia,SN IIb,None,None,None,None,None,None
ZTF18abvpkdw,None,None,None,None,None,None,None,None,None,None
ZTF18abvpnnb,AGN,None,None,None,None,None,None,None,None,None
ZTF18abvrvdk,None,None,None,SN Ia,None,None,None,None,None,None
ZTF18abvrxmh,None,None,None,None,None,None,SN IIn,None,None,None
ZTF18abvxjqs,None,SN Ia,None,None,SN Ia,None,SN II,None,None,SN Ia
ZTF18abvxoyo,None,None,None,None,None,None,None,None,None,None
ZTF18abvzudi,None,None,None,None,None,None,None,SN Ia,None,None
