,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF21aaoexgy,ZTF21aaoexgy,ZTF21abwcofb,ZTF19aavipfk,ZTF20acmbffa,ZTF18acnmicp,ZTFabc51348,ZTFabc77501,ZTF20acnyxln,ZTF21achpljv,ZTF21aayramw,ZTF21aatlfdp,0,355.7846,469.493,494.9294,498.524,503.7523,506.1844,512.2158,518.5372,521.6832,537.4202,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,None,None,None,None,SN II,SN Ia,SN Ia,None,None,None,0.057,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.055,-99.0,-99.0,-99.0
ZTF21aaprjoh,ZTF21aaprjoh,ZTFabc96763,ZTF21abilydc,ZTF21abwkamq,ZTF21abfokxd,ZTF21abecouz,ZTF18acnmqvh,ZTFabc99645,ZTFabc30097,ZTFabc52098,ZTF21aayfqtb,0,406.0558,447.455,452.0848,467.0338,476.9683,488.8025,510.2308,511.4659,511.6359,511.7986,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,No_TNS,None,SN Ia,None,None,None,None,None,SN Ia,SN Ia,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaofqgx,ZTF21aaofqgx,ZTF21abiwzhj,ZTF18adcagrn,ZTFabc08610,ZTF18acbvzsi,ZTF21aahmxfs,ZTFabc31054,ZTFabc63938,ZTFabc41336,ZTFabc43582,ZTFabc58893,0,265.5591,285.8767,327.8155,336.46,338.8406,345.7787,347.8557,347.9643,349.1636,349.4417,Yes_TNS,Yes_TNS,Yes_TNS,Fake,No_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,None,None,None,SN Ia,None,None,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aafsmnv,ZTF21aafsmnv,ZTFabc71030,ZTF20acvemao,ZTFabc77517,ZTF21abizknl,ZTF20acphsbv,ZTF21aawtaxi,ZTFabc62693,ZTF21acafsjy,ZTFabc66762,ZTFabc78097,0,465.9102,466.321,468.19,469.4052,470.3374,485.704,494.2966,496.4191,549.2689,551.9545,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,None,SN Ia,SN Ia,SN Ia,None,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,0.112,-99.0,-99.0,0.1205,-99.0,-99.0,0.097,-99.0,-99.0
ZTF18acajzib,ZTF18acajzib,ZTFabc61043,ZTFabc67963,ZTFabc77723,ZTFabc59278,ZTFabc30091,ZTFabc37006,ZTF20acwqmda,ZTFabc88505,ZTFabc77040,ZTFabc12320,0,199.1181,236.4055,241.3185,242.9079,244.8265,245.4473,267.2396,268.1163,269.4474,273.2993,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,SN II,SN II,SN II,SN II,SN Ia,SN Ia,None,SN II,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abdleps,ZTF21abdleps,ZTFabc49294,ZTFabc60351,ZTFabc27430,ZTFabc88047,ZTFabc69110,ZTFabc00267,ZTFabc14950,ZTFabc20351,ZTFabc30057,ZTFabc78325,0,357.0879,421.8829,427.0597,430.5533,434.0547,434.7506,438.7745,439.0191,440.3111,440.8848,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN II,SN II,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21acgylrk,ZTF21acgylrk,ZTF19aaajbre,ZTF21aagkhca,ZTF21acerczf,ZTFabc31616,ZTF21aaxxyha,ZTF21aaqzalw,ZTF20acudclc,ZTF19aabhfdi,ZTF21aagtoyj,ZTF20aczguyy,0,180.1356,212.2964,268.7029,331.8831,339.1922,343.8089,349.0986,350.2529,354.5243,357.7103,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,SN Ia,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaetnfe,ZTF21aaetnfe,ZTFabc69340,ZTFabc08334,ZTFabc04043,ZTFabc39236,ZTFabc73120,ZTFabc22086,ZTFabc45083,ZTFabc68327,ZTFabc73300,ZTFabc06041,0,160.6685,161.5015,161.5589,161.7491,164.283,165.8241,175.1636,175.3383,176.563,176.5931,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN IIn,SN Ib,SN IIn,SN IIn,0.04,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aalenaa,ZTF21aalenaa,ZTFabc68006,ZTFabc28161,ZTFabc32510,ZTFabc72349,ZTFabc16177,ZTFabc14010,ZTFabc55973,ZTFabc03312,ZTFabc36399,ZTFabc20724,0,269.1029,269.4117,273.6429,273.9295,274.6175,278.1727,280.1567,280.9411,281.3701,284.0441,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ic,SN Ic,SN Ic,SN Ic,SN Ia,SN Ia,SN Ic,SN Ic,SN Ic,SN Ic,0.097049,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18adayszd,ZTF18adayszd,ZTF18acvgkeu,ZTF21abrxwvv,ZTFabc83635,ZTF18adaiunt,ZTFabc54118,ZTF21aaplnef,ZTFabc28194,ZTFabc67815,ZTFabc14753,ZTFabc44394,0,520.5836,582.5331,588.7961,590.406,596.4195,600.5516,605.1921,607.505,610.5337,617.4598,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Fake,None,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,0.093,-99.0,-99.0,-99.0,0.075,-99.0,-99.0,-99.0,-99.0
ZTF21aavunho,ZTF21aavunho,ZTFabc76829,ZTF21aaodljj,ZTF21aastkuh,ZTFabc18541,ZTFabc38345,ZTFabc21962,ZTFabc24125,ZTFabc19306,ZTFabc97554,ZTF21aapxpsp,0,268.7338,281.423,283.1437,296.2306,301.2749,328.9344,329.2471,338.472,355.9183,359.7948,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,None,SN Ia-91T-like,SN Ia,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia-91T-like,SN Ia,SN Ia,None,-99.0,-99.0,0.053,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaostqr,ZTF21aaostqr,ZTFabc21796,ZTFabc34705,ZTFabc79112,ZTF19aaafhbf,ZTFabc28219,ZTFabc42936,ZTF21abgxudc,ZTFabc72730,ZTFabc14852,ZTF18aabvmws,0,200.6144,218.4525,231.4446,263.1161,267.0055,281.5547,290.0376,292.2618,293.2685,296.1505,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Yes_TNS,None,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0264,-99.0,-99.0,-99.0
ZTF21aaswvyc,ZTF21aaswvyc,ZTFabc23515,ZTFabc33261,ZTFabc82114,ZTFabc01006,ZTFabc39950,ZTFabc45650,ZTFabc63317,ZTFabc13225,ZTFabc06920,ZTF21abdpgua,0,170.397,204.7119,214.2185,231.1804,235.7685,246.3209,246.3827,246.8553,250.2486,255.7959,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN IIn,SN IIn,SN IIn,SN IIn,SN Ia,0.07,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.048
ZTF20acnvtxy,ZTF20acnvtxy,ZTF21abbgxbq,ZTF21aaitzue,ZTF18adbdcof,ZTFabc33383,ZTFabc15589,ZTFabc87610,ZTFabc60572,ZTFabc90697,ZTFabc48494,ZTFabc50529,0,191.1574,330.4194,344.0619,354.2047,357.6379,370.2484,370.5965,375.9205,380.6761,384.7925,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN IIP,None,None,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,0.03,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaabwfu,ZTF21aaabwfu,ZTFabc89222,ZTFabc40007,ZTFabc78845,ZTFabc77649,ZTFabc82854,ZTFabc00356,ZTFabc51434,ZTFabc93906,ZTFabc90743,ZTFabc81779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN IIb,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,0.010929,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abvtfxn,ZTF21abvtfxn,ZTF18abscetq,ZTFabc00703,ZTFabc19783,ZTF18acqzakw,ZTFabc85564,ZTFabc97015,ZTF21abwcnod,ZTF20aciowcm,ZTFabc38341,ZTFabc24659,0,241.7867,272.9299,287.501,290.7235,300.2985,305.2177,306.888,308.423,309.067,309.2237,Yes_TNS,No_TNS,Fake,Fake,No_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,SN Ia,None,SN Ia,SN Ia,None,SN Ia,TDE,None,SN Ia,TDE,TDE,0.067,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.09,-99.0,-99.0
ZTF18adbcjlv,ZTF18adbcjlv,ZTF21aaqyenr,ZTF21aahnpyt,ZTF21aatklhw,ZTFabc15149,ZTFabc44492,ZTFabc14661,ZTFabc47005,ZTFabc70894,ZTF20abpmqnr,ZTFabc53223,0,215.6857,287.5968,297.158,297.49,297.5764,367.3928,377.3592,377.5335,378.287,378.9046,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Yes_TNS,Fake,None,None,None,SN Ia,SN Ia,SN Ia,SN Ia,SN IIn,SN IIn,SN IIn,SN IIn,-99.0,-99.0,-99.0,0.06689,-99.0,-99.0,-99.0,-99.0,-99.0,0.022,-99.0
ZTF20acjjkhr,ZTF20acjjkhr,ZTFabc54037,ZTF21aatwoxq,ZTFabc70925,ZTFabc19547,ZTFabc53179,ZTFabc40680,ZTFabc30349,ZTFabc29590,ZTFabc01398,ZTF18ablmduj,0,257.0173,272.0466,294.4856,298.4937,301.7747,306.1331,306.205,306.8973,307.6902,309.7568,Yes_TNS,Fake,No_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Yes_TNS,SN Ia,SN Ia,None,SN Ia,SN Ia,SN II,SN II,SN Ia,SN Ia,SN Ia,SN Ia,0.03901,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.079
ZTF21aayytiz,ZTF21aayytiz,ZTFabc19882,ZTF19aabhqcn,ZTFabc85357,ZTF21aaygefv,ZTFabc42570,ZTFabc25303,ZTFabc57310,ZTF18abyaxyu,ZTFabc04756,ZTF20acklbgq,0,372.5514,379.8083,380.873,403.2436,408.4489,409.1696,410.9142,411.8378,421.5591,472.5294,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,None,SN Ia,None,SN Ia,None,SN II,SN II,SN II,None,SN II,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aapzlnq,ZTF21aapzlnq,ZTF21aaqbakr,ZTF20ackdkva,ZTFabc47717,ZTFabc38186,ZTF20acpuzdo,ZTFabc41962,ZTF21abwbmxq,ZTF21aayznvi,ZTF21abrsann,ZTF21abduyhy,0,273.1317,312.624,318.5323,325.9007,344.6938,364.5021,373.7697,374.5177,376.6086,385.9016,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,SN Ia,SN Ia,SN Ia,None,SN Ia,None,None,None,None,-99.0,-99.0,0.11,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaolmeo,ZTF21aaolmeo,ZTF21aavxtdx,ZTF21aalhqhx,ZTF21aarnxig,ZTF21abfmnms,ZTF19aadgumh,ZTF21abvrfgb,ZTF21aaxyyaq,ZTF21abjzuja,ZTF21aavhweb,ZTF21aatkmld,0,242.7313,272.7649,278.6505,286.6706,303.2144,356.0708,358.2353,381.4999,383.4325,386.6287,No_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acyxprc,ZTF20acyxprc,ZTF21abclrso,ZTF21aaglmln,ZTFabc49112,ZTFabc49627,ZTF21abdiilh,ZTFabc26469,ZTFabc93998,ZTFabc40437,ZTFabc31248,ZTF20acuktst,0,347.8031,369.8715,369.9258,371.0038,383.9306,384.6534,384.73,391.4166,391.7992,394.9382,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,None,None,None,SN Ia,SN II,None,SN Ia-91T-like,SN II,SN Ia-91T-like,SN Ia-91T-like,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20abmcxaf,ZTF20abmcxaf,ZTFabc35705,ZTFabc22115,ZTFabc39225,ZTFabc37450,ZTFabc64499,ZTFabc31425,ZTFabc51957,ZTFabc92815,ZTFabc33079,ZTFabc18674,0,196.3033,207.2068,216.1471,223.3119,223.8208,225.6861,226.3994,239.7313,240.2589,245.2216,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,SN II,SN II,SN II,SN Ib,SN Ib,SN Ib,SN Ib,SN II,SN II,SN Ib,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20actquzl,ZTF20actquzl,ZTFabc64316,ZTFabc45511,ZTFabc35824,ZTFabc93729,ZTFabc47240,ZTFabc50595,ZTFabc85066,ZTFabc22949,ZTFabc88202,ZTFabc11295,0,256.4559,269.5288,272.8003,273.541,288.6766,293.7881,293.8174,293.8383,293.942,294.0062,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN II,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN IIb,SN IIb,SN IIb,SN IIb,SN IIb,0.04,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abwtyle,ZTF21abwtyle,ZTFabc78667,ZTFabc72192,ZTFabc76006,ZTFabc52157,ZTF21abqjmfy,ZTFabc33327,ZTF20acnrphs,ZTFabc00381,ZTFabc88620,ZTF21aaannfk,0,243.4421,246.7853,248.1624,255.1959,256.6147,260.355,263.2208,266.2716,273.2512,274.0806,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,None,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.05,-99.0,-99.0,-99.0
ZTF21aayqrgx,ZTF21aayqrgx,ZTFabc33795,ZTFabc93402,ZTFabc71622,ZTFabc94772,ZTFabc83791,ZTFabc31654,ZTFabc07460,ZTFabc32419,ZTFabc87468,ZTFabc53117,0,356.255,357.5039,362.0859,379.0235,408.7003,419.9349,420.6258,422.9307,425.1748,427.6341,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ib,SN IIn,SN IIn,SN IIn,SN IIn,SN IIn,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,0.033,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpmgdz,ZTF20acpmgdz,ZTF20abydkrl,ZTFabc10926,ZTFabc08245,ZTFabc69471,ZTFabc33750,ZTFabc56132,ZTFabc08550,ZTFabc76748,ZTFabc66708,ZTFabc28781,0,46.4737,116.2557,306.2657,332.8693,357.1243,358.4758,361.8679,362.9764,365.439,370.0903,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia,SN Ia-91T-like,SN Ia-91T-like,0.04,0.031141,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
