,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z
22,ZTF18aauvmnq,ZTF18abtxmwz,ZTF21aayqrgx,ZTF20acppsay,ZTF21aareexg,ZTF20acoaqpm,ZTF20acobevy,ZTF20actvlbq,ZTF18aagtwyh,ZTF21aaglgcb,0.0,59.4403,59.5334,63.9418,65.5248,65.5385,67.8117,69.8533,70.1755,72.4836,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ib,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.0621,0.095,0.033,0.1,0.105,0.08,0.08,0.083038,0.066041,0.07
23,ZTF18aawfofp,ZTF20acquetr,ZTF20acwfftd,ZTF20acmaaan,ZTF20abwktfx,ZTF21aalyvyw,ZTF21abfiuqf,ZTF21abkaoxe,ZTF21abulrsl,ZTF18aahfbqp,0.0,88.815,88.9865,90.847,91.8571,93.9549,94.6094,94.9675,95.0801,98.0149,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN II,SN Ia,SN Ia,SN II,SN Ia,SN Ia-91bg-like,SN Ia,0.033296,0.030791,0.02147,0.0187,0.027035,0.062128,0.023646,0.0543,0.0478,0.041362
24,ZTF18aayyqia,ZTF21abasxdp,ZTF18abquxjv,ZTF20acwuiuo,ZTF18acaucsw,ZTF21aasyydo,ZTF21aapduck,ZTF21aawtazf,ZTF21aaluoym,ZTF21aamkxbl,0.0,61.7695,65.1025,67.5358,68.2376,69.6038,69.9952,70.776,71.2005,71.2696,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN I,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.0691,0.07,0.074,0.108,0.07,0.061012,0.058,0.061948,0.0664,0.057153
25,ZTF18aazijke,ZTF20adadsgm,ZTF21aapejbx,ZTF21abcgxwy,ZTF21aaqldsk,ZTF18aansqom,ZTF20actpbck,ZTF20achzugy,ZTF21aaufwyh,ZTF21aakvroo,0.0,63.9801,64.5751,66.7268,69.4588,69.6768,70.3699,71.9449,74.3706,74.5194,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ic,SN Ia,SN Ia,SN Ia,SN Ib,SN IIP,0.048,0.043947,0.07,0.05358,0.0364019983,0.03,0.06,0.048,0.028,0.031681
26,ZTF18abaeqpf,ZTF20abzbfct,ZTF21aaqzkhx,ZTF20acjbhhp,ZTF21aapjcqb,ZTF21abxnghi,ZTF21aalimtr,ZTF18aadsuxd,ZTF20acqlcge,ZTF20acwxbyr,0.0,50.6143,57.903,62.0796,62.1866,62.9455,63.0928,63.1773,63.8371,64.2304,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN II,SN Ia,SN Ia,SN II,SN Ia,SN Ia,SN Ia,SN II,SN Ia,SN Ia,0.0475,0.035,0.050822,0.050475,0.07,0.046,0.051344,0.03057,0.033,0.086093
27,ZTF18abdqwzs,ZTF21aahfjrr,ZTF21aasafkl,ZTF20accdijx,ZTF20acrzuko,ZTF21aapqzxr,ZTF20ackrqfi,ZTF21aaocibg,ZTF21aapjmgf,ZTF21aazcjbh,0.0,50.9501,52.183,53.4973,53.6366,54.4805,56.5417,56.8629,56.9648,57.6127,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN,SN IIn,SN Ia,SN II,SN I,SN Ia,SN Ia,SN Ia,SN II,SN Ia,0.0504,0.194,0.075382,0.025,0.06,0.1035,0.07,0.071,0.054,0.1
28,ZTF18ablmduj,ZTF21aatwlhj,ZTF21aasrdct,ZTF21aabhqng,ZTF21abdfdwi,ZTF20acplqek,ZTF21aazebgh,ZTF21ablducj,ZTF20acowuix,ZTF21aapjmgf,0.0,37.9841,40.8469,42.54,44.4682,45.9519,46.8718,46.892,47.4751,48.1781,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN II,0.079,0.1,0.080611,0.089,0.08612,0.083,0.076,0.052,0.09,0.054
29,ZTF18abolvsx,ZTF20acongti,ZTF20acfwrln,ZTF20acmaaan,ZTF20abxyaje,ZTF21aaaroyw,ZTF20acymtcs,ZTF20abyzoof,ZTF21aaluoym,ZTF18aajupnt,0.0,97.7425,98.5564,105.8002,107.6568,110.0676,110.3422,110.618,110.9247,111.9131,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN II,SN II,SN II,SN II,SN Ib,SN Ia,SN II,SN Ia,AGN,0.025998,0.041,0.0183,0.0187,0.03784,0.0436,0.061062,0.02851,0.0664,0.0367
30,ZTF18abquxjv,ZTF21abasxdp,ZTF20acywefl,ZTF21aantxma,ZTF21aawtazf,ZTF21abkkuja,ZTF20abvdtgl,ZTF18aaizgoq,ZTF18aadlaxo,ZTF20acpqagp,0.0,50.119,55.4508,57.3453,58.0316,59.74,60.8405,62.036,62.5205,63.5664,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.074,0.07,0.058596,0.07023,0.061948,0.054164,0.092,0.07,0.052953,0.087971
31,ZTF18abqyvzy,ZTF21abctmnb,ZTF20acuhgar,ZTF21aawlwoy,ZTF21abbxdcm,ZTF20acqksdi,ZTF21abbkefe,ZTF20acwgxhk,ZTF20acbovrt,ZTF20acrbpqd,0.0,62.2219,66.0683,66.3151,68.5109,71.2065,73.1333,73.6297,73.7704,74.6431,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN II,SN Ia,SN II,SN Ia,SN Ia-91T-like,SN Ia,SN Ia,SN II,SN Ia,SN Ia,0.0148,0.045,0.053,0.05032,0.05,0.03726,0.041542,0.021,0.05,0.06785
