,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z
10,ZTF18aabvmws,ZTF21aappehx,ZTF18aaqgnlu,ZTF18aahfbqp,ZTF18acsxjhc,ZTF18acgipnc,ZTF21aawihwx,ZTF18aamxjoa,ZTF19abyihtb,ZTF19aabyhwy,0.0,89.1626,92.3758,93.9191,94.6218,95.1467,95.5454,98.1638,99.8045,100.082,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,SN Ia,None,SN Ia,None,None,SN Ia-91bg-like,None,None,None,-99.0,0.054514,-99.0,0.041362,-99.0,-99.0,0.044,-99.0,-99.0,-99.0
11,ZTF18aabxpzd,ZTF20abjwgln,ZTF18acvvxzn,ZTF19aacirez,ZTF21aaopcrq,ZTF18aayldkr,ZTF19aayikck,ZTF19abdktel,ZTF20abgdovm,ZTF21aayfder,0.0,89.3161,93.6392,98.7398,100.5581,100.6655,101.746,102.2033,103.1242,104.284,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
12,ZTF18aabxrxc,ZTF18abvrxmh,ZTF19aacirez,ZTF19aapgauf,ZTF18abvkffr,ZTF19aaapgsy,ZTF20aaqbsyy,ZTF20aakecqy,ZTF19aawuizm,ZTF19aaomlcb,0.0,41.8562,54.7743,61.843,62.7185,64.2561,64.626,65.4148,65.4234,66.0635,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
13,ZTF18aacnlxz,ZTF20acpkgqd,ZTF20acowsyj,ZTF20acpjswl,ZTF21abbgtcy,ZTF21aaxswlc,ZTF21abxwuvo,ZTF20acaazkt,ZTF20aavbcxh,ZTF20aclnbft,0.0,37.6668,41.9212,43.4651,43.7673,44.3229,45.7863,46.0472,46.0866,46.2165,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN II,None,None,None,None,SN Ia,None,None,None,None,0.072475,-99.0,-99.0,-99.0,-99.0,0.072,-99.0,-99.0,-99.0,-99.0
14,ZTF18aacqksn,ZTF21aaintqz,ZTF20acpllqk,ZTF21abqjmfy,ZTF21abxttav,ZTF21aagscbh,ZTF21aakysyw,ZTF21abwcgvh,ZTF21abcthgv,ZTF20acoxerh,0.0,43.0957,43.3065,44.3857,48.0036,50.2909,51.4416,51.6122,51.6226,51.951,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
15,ZTF18aadaexi,ZTF21aaocrtt,ZTF18abgmmso,ZTF21aaavhbu,ZTF21abxdibe,ZTF21aanyvnn,ZTF21aahkcsq,ZTF21abcoqqt,ZTF20abvdtgl,ZTF21aalimun,0.0,46.0196,57.809,57.9311,59.2593,59.5616,59.7234,59.8737,60.203,60.2793,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN Ia,SN Ia,None,None,None,SN Ia,None,-99.0,-99.0,-99.0,0.0767,0.094,-99.0,-99.0,-99.0,0.092,-99.0
16,ZTF18aadlaxo,ZTF21abkkuja,ZTF21aawtazf,ZTF20acwscli,ZTF21aantxma,ZTF20acywefl,ZTF21abasxdp,ZTF21aahkcsq,ZTF20acoqpbg,ZTF21aajuerd,0.0,47.0931,48.2142,49.4943,52.8378,53.2809,53.5855,53.8857,53.9433,54.6012,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,0.052953,0.054164,0.061948,-99.0,0.07023,0.058596,0.07,-99.0,0.06017,0.069197
17,ZTF18aadsuxd,ZTF20aczacag,ZTF20acjhhqx,ZTF21aamfcji,ZTF20acxbbaj,ZTF20abzbfct,ZTF21abowpnd,ZTF21aaxstzy,ZTF20acwxbyr,ZTF21aayfnjz,0.0,46.4806,48.4139,55.7088,57.0404,57.1749,57.7539,59.2753,59.5349,60.2529,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN II,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN IIb,0.03057,0.04106478941915,0.04,0.046105,0.06,0.035,0.061306,0.069,0.086093,0.023
18,ZTF18aaflcyp,ZTF21aaaekui,ZTF20acgjtuo,ZTF21aaijkpx,ZTF20achlkrs,ZTF20acwqnjd,ZTF21acjpytg,ZTF20acupxyy,ZTF21aaglgcb,ZTF20acpiahx,0.0,56.8106,60.1465,60.8484,62.3782,62.7328,64.8222,65.3753,65.3763,65.951,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.07,-99.0
19,ZTF18aaftrfv,ZTF21aabgctd,ZTF21abqfkpm,ZTF18acvvtug,ZTF20acogybn,ZTF20aclghvm,ZTF20acusjxt,ZTF20abznlzl,ZTF21aapjjec,ZTF21aabglax,0.0,47.4802,47.9634,48.7409,49.5485,51.6394,53.0442,53.2427,54.3131,54.6223,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
20,ZTF18aafzcbw,ZTF21aalklsu,ZTF21aacvmmz,ZTF21abowsie,ZTF21abdskub,ZTF21abfyzry,ZTF20acpmfsg,ZTF18aaiumgp,ZTF20acwsgyp,ZTF20aciuciv,0.0,40.2307,40.4183,41.8955,42.6395,44.0043,44.0953,44.8066,45.2181,45.4352,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.097
21,ZTF18aafzers,ZTF21aagtceu,ZTF21abkaoxe,ZTF21aaheulr,ZTF20acsesce,ZTF21abklcjq,ZTF21aadalct,ZTF21aanrhag,ZTF18acyyefr,ZTF21aaeoqxf,0.0,57.9077,58.6025,61.2843,62.3981,66.2101,67.9627,68.6453,69.3778,70.2866,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia-pec,SN Ia,SN Ia,SN Ia,SN Ia,SN Ic,SN Ia,SN IIb,None,SN II,0.048708,0.044665,0.0543,0.034,0.052,0.02508,0.046729,0.039724,-99.0,0.022
22,ZTF18aagazmu,ZTF20acvszvx,ZTF20aciucub,ZTF21abcpnwz,ZTF21aapegkr,ZTF21aawhyge,ZTF21abcxfhj,ZTF18acbxqyz,ZTF21aagmrvg,ZTF21aasjpsn,0.0,55.6881,55.7931,57.3874,58.5746,62.4318,62.5196,62.669,62.7083,63.2033,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
23,ZTF18aagtwyh,ZTF21aaxkckg,ZTF21abifrsi,ZTF20acqyfie,ZTF21aavrmzc,ZTF20acmafkf,ZTF20acyxxfo,ZTF20acunxkg,ZTF20acpkgqd,ZTF21aapjlyx,0.0,38.1656,41.5095,43.3169,43.4334,44.8618,45.6432,46.4898,48.0672,48.078,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,None,None,SN Ia,None,None,None,None,0.066041,0.063,0.064,-99.0,-99.0,0.12,-99.0,-99.0,-99.0,-99.0
24,ZTF18aahfbqp,ZTF21abmdhes,ZTF21aamwqim,ZTF20abwktfx,ZTF18acgipnc,ZTF21aaswtok,ZTF20actnuls,ZTF18aaqgnlu,ZTF20acquetr,ZTF21abcgxwy,0.0,71.7605,73.9374,74.1922,75.3051,76.9,77.1653,77.5744,78.8148,81.231,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN II,SN Ia,None,SN Ia,SN II,None,SN Ia,SN Ia,0.041362,0.04,0.025878,0.027035,-99.0,0.041,0.030371,-99.0,0.030791,0.05358
25,ZTF18aahiqsu,ZTF18aaxzpyh,ZTF20achutoz,ZTF19aaingkb,ZTF18abxftqm,ZTF20acnznms,ZTF20abvquuo,ZTF19aachjep,ZTF18abdbvyf,ZTF18aceacqp,0.0,44.5617,46.6309,47.5955,51.4397,51.8972,53.5502,54.2791,56.6276,56.7068,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,TDE,SLSN-II,SN Ib,None,None,None,-99.0,-99.0,-99.0,-99.0,0.09,0.204,0.03,-99.0,-99.0,-99.0
26,ZTF18aahsuyl,ZTF20aclghvm,ZTF18acploez,ZTF21aagolqa,ZTF21aapjksm,ZTF21aagnxdt,ZTF20actoank,ZTF21aaotlfk,ZTF20acpkprl,ZTF21aaqyqux,0.0,47.623,48.0444,51.6725,52.2353,52.6261,52.7302,52.9203,52.9699,53.0529,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,SN II,SN Ia,None,None,None,None,SN Ia,None,-99.0,-99.0,0.04,0.1,-99.0,-99.0,-99.0,-99.0,,-99.0
27,ZTF18aaikcbb,ZTF20acmgnng,ZTF18aawpuqx,ZTF21aasvzyi,ZTF21abxnrfx,ZTF21aawarkz,ZTF20aavniiw,ZTF21abbgxbq,ZTF21abxsngi,ZTF21abawosy,0.0,58.1579,67.9098,68.5387,69.1306,69.8669,70.5449,70.993,71.86,72.0256,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN II,None,None,None,None,None,None,None,SN Ia,None,0.044,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.042,-99.0
28,ZTF18aaimlad,ZTF19aaomlcb,ZTF20aakecqy,ZTF21aapzgos,ZTF18adbdcof,ZTF18acpeenk,ZTF20achnlsd,ZTF18aabxrxc,ZTF19aawuizm,ZTF20abpvidq,0.0,70.8951,71.8952,78.727,79.1191,79.7821,83.8851,84.6528,84.9121,85.5702,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
29,ZTF18aairvdw,ZTF19abxpoxx,ZTF18accjwwv,ZTF18aavsoed,ZTF19aajwlap,ZTF18abcmrqo,ZTF18acusuab,ZTF19aaiqaly,ZTF20aaetsrw,ZTF18adacgwf,0.0,58.279,61.1077,63.8141,69.783,70.445,71.6066,72.621,75.4803,76.1313,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
30,ZTF18aaisqmw,ZTF21aazqkeq,ZTF20acwxhka,ZTF18abwjsrw,ZTF19acvriby,ZTF20acvdqtg,ZTF20aaspiic,ZTF21aasyydo,ZTF21aaxydav,ZTF21acgyzel,0.0,63.1874,64.3068,66.2657,66.5663,66.6214,66.8046,67.3417,67.5772,68.0751,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN II,None,None,None,SN Ia,None,SN Ia,None,SN Ia,0.0527,0.0283,-99.0,-99.0,-99.0,0.077,-99.0,0.061012,-99.0,0.049
31,ZTF18aaiukzn,ZTF18adcbgey,ZTF19aayijro,ZTF19aawgczv,ZTF18acbwgej,ZTF18aassvid,ZTF18abuoilc,ZTF18abdbvyf,ZTF19aadfrxu,ZTF19aaingkb,0.0,36.6241,38.1759,39.6912,40.594,41.1194,41.7141,44.6945,46.2563,48.0741,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,AGN,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.33,-99.0,-99.0,-99.0
32,ZTF18aaiumgp,ZTF20acrivxx,ZTF18aalpkwb,ZTF21abalkop,ZTF21aaigndt,ZTF18aafzcbw,ZTF20acpllaq,ZTF19aaaaxeu,ZTF21aacvmmz,ZTF21abcfobn,0.0,40.6909,43.6223,43.7422,44.0453,44.8066,45.151,47.029,48.5449,49.1924,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
33,ZTF18aaivzrf,ZTF19acewfeq,ZTF20aaivkdw,ZTF19aaaerqj,ZTF20aajcbze,ZTF19abxnvvt,ZTF20aaqhzqr,ZTF18acepfmz,ZTF19adbmfbe,ZTF18adbhlyb,0.0,33.3552,35.8605,36.0588,38.1661,38.6227,38.6253,38.6308,39.5142,39.5837,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
34,ZTF18aaizgoq,ZTF21aaqhwgh,ZTF21aaabvkj,ZTF21abeguum,ZTF21aaqzqdy,ZTF21aahkcsq,ZTF18abotthu,ZTF18aczevei,ZTF21aaahliy,ZTF21aagrhot,0.0,44.7811,49.7264,50.7775,54.6352,55.0533,55.1042,56.6938,57.0126,57.4842,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,SN Ia,SN Ia,SN Ia,None,None,None,None,None,SN Ia-91T-like,SN Ia,0.07,0.08317,0.077146,-99.0,-99.0,-99.0,-99.0,-99.0,0.10579,0.1
35,ZTF18aajawol,ZTF21aalogmp,ZTF20acoaqpm,ZTF20acpcwwg,ZTF21aayfiim,ZTF21aaltmvu,ZTF21aaeolbz,ZTF21aayramw,ZTF21abrgpyf,ZTF21aaoglbq,0.0,34.1153,38.4899,38.5589,39.8613,40.0343,40.5573,41.4301,42.371,42.4762,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,SN Ia,None,None,None,None,None,None,None,-99.0,-99.0,0.08,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
36,ZTF18aajhfdm,ZTF19aavhwbp,ZTF21aagmhzg,ZTF20acpabvp,ZTF18accbexr,ZTF21abdvaxe,ZTF18acwyaws,ZTF20acujiae,ZTF21abexmbi,ZTF19aaaicak,0.0,45.319,49.6919,50.2737,50.4897,53.44,54.8185,55.6308,55.7815,56.4819,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,SN Ia,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,0.083,-99.0,-99.0,-99.0,-99.0
37,ZTF18aajiirj,ZTF21aatwrmv,ZTF21abcxhvn,ZTF21abpyefp,ZTF21aaluqlg,ZTF18acchhxu,ZTF21abcmoqz,ZTF20ackobeu,ZTF21aayzumv,ZTF21aafaupn,0.0,49.6918,51.5235,53.0941,53.8182,55.2459,56.8407,58.7503,58.9301,59.0446,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,SN Ia,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.1,-99.0,-99.0
38,ZTF18aajimzr,ZTF20acppruo,ZTF21aahpsfj,ZTF21abbfjza,ZTF18acbwgcd,ZTF21aanjvng,ZTF21aapkzqg,ZTF21aaxsmwu,ZTF21abdfsbz,ZTF21aarhcjk,0.0,57.7444,59.5567,60.7183,61.7628,63.2722,64.7359,65.0326,66.3723,66.4958,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,SN Ia,None,None,None,None,None,None,None,None,-99.0,0.13,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
39,ZTF18aajiqhb,ZTF21abwtyle,ZTF21aarwwzd,ZTF20acpkwer,ZTF21abcxhvn,ZTF21aarmvnh,ZTF21aahpsxt,ZTF21aalklsu,ZTF21abdhakc,ZTF21aaxtzsh,0.0,47.7236,50.1315,50.7828,52.7635,55.2937,56.1992,56.291,56.8212,57.1038,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
